animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
279533,AAAGG1111024001,3,56,新北市瑞芳區公立動物之家,貓,混種貓,M,MEDIUM,黃白色,,F,F,貢寮區,,OPEN,,,2022-10-24,2999-12-31,2022/10/24,2022/10/24,新北市瑞芳區公立動物之家,,,2022/10/24,新北市瑞芳區靜安路四段(106縣道74.5K清潔隊場區內),02-24063481
279524,111102306,2,49,臺北市動物之家,貓,混種貓,F,MEDIUM,虎斑色,ADULT,T,F,中和里大屯路光華四巷,,OPEN,右剪耳，失溫,,2022-11-01,2999-12-31,2022/10/24,2022/10/23,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/5123fc06-30f6-491e-b330-c4286250353d_org.jpg,,2022/10/24,臺北市內湖區安美街191號,02-87913254
279527,AAAHG1111024001,3,58,新北市五股區公立動物之家,狗,混種狗,F,MEDIUM,黑色,,T,F,竹林路,,OPEN,,,,2999-12-31,2022/10/24,2022/10/24,新北市五股區公立動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/8a07fb91-ac36-455d-80d9-226379ab0a4e_org.jpg,,2022/10/24,新北市五股區外寮路9-9號,02-82925265
279511,111102302,2,49,臺北市動物之家,貓,混種貓,M,SMALL,黃白色,,F,F,舊莊里	舊庄街一段3巷3弄,,OPEN,FPV(-)。,,2022-10-25,2999-12-31,2022/10/24,2022/10/23,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/ea716105-32b7-4d89-b84e-cd4afd105948_org.jpg,,2022/10/24,臺北市內湖區安美街191號,02-87913254
279517,111102303,2,49,臺北市動物之家,貓,混種貓,M,SMALL,黃白色,,F,F,泰和里	吳興街600巷(原拾獲地：新北市石碇區大湖格路),,OPEN,FPV(-)。,,2022-10-25,2999-12-31,2022/10/24,2022/10/23,臺北市動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/85460e06-09da-4602-9529-9cb094af44e1_org.jpg,,2022/10/24,臺北市內湖區安美街191號,02-87913254
279510,QAAAG1111024001,4,48,基隆市寵物銀行,狗,馬爾濟斯,F,SMALL,白色,ADULT,F,F, 200基隆市仁愛區仁四路10號,,OPEN,,,,2999-12-31,2022/10/24,2022/10/11,基隆市寵物銀行,https://asms.coa.gov.tw/amlapp/upload/pic/9a6c5620-8a31-4880-b38e-60684f53f08e_org.jpg,,2022/10/24,基隆市七堵區大華三路45-12號(欣欣安樂園旁),02-24560148
268504,DAAAG1110805003,7,63,新竹縣動物保護防疫所,狗,吉娃娃,F,SMALL,黑白色,,T,F,湖口,,OPEN,親人  撒嬌     將預定於111年10月28日(五)早上九點開放認養(若認養民眾多採抽籤方式)，須年滿20歲，若家中有飼養其他動物請提供有效期限(最近一年內)的狂犬病注射證明。線上填寫認養名單僅供資料審核，不代表認養優先權。,,2022-10-28,2999-12-31,2022/10/24,2022/08/05,新竹縣動物保護防疫所,https://asms.coa.gov.tw/amlapp/upload/pic/0bd85166-54d7-4b77-ba66-cd78402cb4dd_org.jpg,,2022/10/24,新竹縣竹北市縣政五街192號,03-5519548
279506,AAADG2022102401,3,50,新北市板橋區公立動物之家,狗,混種狗,F,MEDIUM,黑色,,T,F,仁壽街,,OPEN,,,2022-10-24,2999-12-31,2022/10/24,2022/10/24,新北市板橋區公立動物之家,,,2022/10/24,新北市板橋區板城路28-1號,02-89662158
279242,AAADG2022102103,3,50,新北市板橋區公立動物之家,貓,混種貓,F,SMALL,黑黃色,,F,F,僑中一街,,OPEN,111/10/19 除蚤 10/20驅蟲 900073000503077,,2022-10-21,2999-12-31,2022/10/24,2022/10/21,新北市板橋區公立動物之家,https://asms.coa.gov.tw/amlapp/upload/pic/2de4a1fb-8817-46fe-9254-1b55f93ba51e_org.jpg,,2022/10/24,新北市板橋區板城路28-1號,02-89662158
279335,RAAAG1111021001,8,62,新竹市動物保護教育園區,貓,混種貓,F,MEDIUM,虎斑白色,,T,F,中華路五段,,OPEN,,,2022-10-28,2999-12-31,2022/10/24,2022/10/21,新竹市動物保護教育園區,https://asms.coa.gov.tw/amlapp/upload/pic/78fe5c3a-4ff0-46cc-bf02-8cc6b6a44ec9_org.JPG,,2022/10/24,新竹市南寮里海濱路250號,03-5368329
279426,DAAAG1111022013,7,63,新竹縣動物保護防疫所,狗,混種狗,M,MEDIUM,黑色,,T,F,新竹市東區仙水里2鄰光復路一段531巷72之2號2樓,,OPEN,歷經三任飼主，飼主反映狗狗不喜歡被關籠，會一直想出門，曾咬傷主人，親人不親狗，新環境適應期中會有長時間嚶嚶叫狀況產生，需要耐心訓練、學習能力強、聰明和喜歡唱歌。需適時散步消耗精力、不能關籠飼養、領養人需為有飼養狗經驗者為佳。,,2022-10-22,2999-12-31,2022/10/24,2022/10/22,新竹縣動物保護防疫所,https://asms.coa.gov.tw/amlapp/upload/pic/bf6feec9-894d-4ef3-bbcd-4cac07d62feb_org.jpg,,2022/10/24,新竹縣竹北市縣政五街192號,03-5519548
