ID,rpt_year,rpt_country_code,rpt_country,calcu_dog_num,calcu_cat_num,stray_dog_num,els_note
379,110,City000022,連江縣,375,68,0,
378,110,City000021,金門縣,4899,1781,0,
377,110,City000013,嘉義市,13618,7133,0,
376,110,City000006,新竹市,21975,14955,0,
375,110,City000001,基隆市,15949,15189,0,
374,110,City000020,澎湖縣,4466,3015,0,
373,110,City000018,花蓮縣,26597,22227,0,
372,110,City000017,臺東縣,13674,9572,0,
371,110,City000016,屏東縣,59796,21152,0,
370,110,City000012,嘉義縣,34579,19413,0,
369,110,City000011,雲林縣,50389,38791,0,
368,110,City000008,南投縣,37825,15559,0,
367,110,City000010,彰化縣,64868,48473,0,
366,110,City000007,苗栗縣,43999,16823,0,
365,110,City000005,新竹縣,30656,15504,0,
364,110,City000019,宜蘭縣,18749,12088,0,
363,110,City000004,桃園市,168774,107728,0,
362,110,City000015,高雄市,100266,88329,0,
361,110,City000014,臺南市,77333,72290,0,
360,110,City000009,臺中市,139957,100532,0,
359,110,City000002,臺北市,126358,101635,0,
358,110,City000003,新北市,180116,138551,0,
357,109,City000020,澎湖縣,0,0,0,未調查家犬及家貓數量。
356,109,City000022,連江縣,0,0,204,未調查家犬及家貓數量。
355,109,City000021,金門縣,0,0,1173,未調查家犬及家貓數量。
354,109,City000013,嘉義市,0,0,890,未調查家犬及家貓數量。
353,109,City000006,新竹市,0,0,3225,未調查家犬及家貓數量。
352,109,City000001,基隆市,0,0,1053,未調查家犬及家貓數量。
351,109,City000018,花蓮縣,0,0,5975,未調查家犬及家貓數量。
350,109,City000017,臺東縣,0,0,3791,未調查家犬及家貓數量。
349,109,City000016,屏東縣,0,0,20291,未調查家犬及家貓數量。
348,109,City000012,嘉義縣,0,0,17408,未調查家犬及家貓數量。
347,109,City000011,雲林縣,0,0,5799,未調查家犬及家貓數量。
346,109,City000008,南投縣,0,0,6724,未調查家犬及家貓數量。
345,109,City000010,彰化縣,0,0,9168,未調查家犬及家貓數量。
344,109,City000007,苗栗縣,0,0,2905,未調查家犬及家貓數量。
343,109,City000005,新竹縣,0,0,4186,未調查家犬及家貓數量。
342,109,City000019,宜蘭縣,0,0,3930,未調查家犬及家貓數量。
341,109,City000004,桃園市,0,0,11062,未調查家犬及家貓數量。
340,109,City000015,高雄市,0,0,17271,未調查家犬及家貓數量。
339,109,City000014,臺南市,0,0,19539,未調查家犬及家貓數量。
338,109,City000009,臺中市,0,0,6686,未調查家犬及家貓數量。
337,109,City000002,臺北市,0,0,3259,未調查家犬及家貓數量。
336,109,City000003,新北市,0,0,11328,未調查家犬及家貓數量。
257,108,City000020,澎湖縣,4629,3212,0,
256,108,City000022,連江縣,448,239,0,
255,108,City000021,金門縣,6573,2314,0,
254,108,City000013,嘉義市,15584,6033,0,
253,108,City000006,新竹市,39056,21215,0,
252,108,City000001,基隆市,16812,8041,0,
251,108,City000018,花蓮縣,33860,13240,0,
250,108,City000017,臺東縣,31167,14779,0,
249,108,City000016,屏東縣,105977,33411,0,
248,108,City000012,嘉義縣,50274,15390,0,
247,108,City000011,雲林縣,58899,15449,0,
246,108,City000008,南投縣,51506,21175,0,
245,108,City000010,彰化縣,80138,30568,0,
244,108,City000007,苗栗縣,41954,16782,0,
243,108,City000005,新竹縣,46940,19530,0,
242,108,City000019,宜蘭縣,37904,11040,0,
241,108,City000004,桃園市,131010,82349,0,
240,108,City000015,高雄市,196423,79940,0,
239,108,City000014,臺南市,85038,61489,0,
238,108,City000009,臺中市,150907,69986,0,
237,108,City000002,臺北市,140959,123768,0,
236,108,City000003,新北市,211383,113821,0,
235,107,City000020,澎湖縣,0,0,3008,未調查家犬及家貓數量。
